,Unnamed: 0,imdb_id,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,tags,youtube_id,split
0,29,tt0023427,movie,Scarface,Scarface,0,1932,\N,93,"Action,Crime,Drama","violence, murder",XRmWftEjit0,train
1,68,tt0029583,movie,Snow White and the Seven Dwarfs,Snow White and the Seven Dwarfs,0,1937,\N,83,"Adventure,Animation,Family","fantasy, murder, cute, good versus evil, romantic, entertaining",h1faovQFykQ,train
2,82,tt0031381,movie,Gone with the Wind,Gone with the Wind,0,1939,\N,238,"Drama,Romance,War","romantic, boring, historical, murder, melodrama",0dTsfsr6-X8,train
3,100,tt0032910,movie,Pinocchio,Pinocchio,0,1940,\N,88,"Adventure,Animation,Comedy","cute, fantasy, entertaining",WOjibXs2opw,train
4,107,tt0033563,movie,Dumbo,Dumbo,0,1941,\N,64,"Adventure,Animation,Drama","psychedelic, cute",Biigna1PMOw,val
5,116,tt0034492,movie,Bambi,Bambi,0,1942,\N,69,"Adventure,Animation,Drama",cute,wlnfh2DEIgY,val
6,133,tt0035896,movie,For Whom the Bell Tolls,For Whom the Bell Tolls,0,1943,\N,170,"Adventure,Drama,History","violence, murder",uxFEGZwzElc,train
7,161,tt0038499,movie,Duel in the Sun,Duel in the Sun,0,1946,\N,146,"Drama,Romance,Western","murder, violence, melodrama, tragedy, revenge, sadist",9nBOj5IzoKU,train
8,184,tt0040746,movie,Rope,Rope,0,1948,\N,80,"Crime,Drama,Mystery","murder, cult, atmospheric, philosophical, suspenseful, storytelling",ADoJWPAvHuM,train
9,191,tt0041716,movie,On the Town,On the Town,0,1949,\N,98,"Comedy,Musical,Romance",romantic,x7CIgWZTdgw,train
10,196,tt0042332,movie,Cinderella,Cinderella,0,1950,\N,74,"Animation,Family,Fantasy","romantic, fantasy",1vbGhunXGFc,train
11,208,tt0043067,movie,Treasure Island,Treasure Island,0,1950,\N,96,"Adventure,Family","insanity, action, murder",JVX5ZfTcGNU,train
12,210,tt0043274,movie,Alice in Wonderland,Alice in Wonderland,0,1951,\N,75,"Adventure,Animation,Comedy","fantasy, whimsical, cute, alternate reality, psychedelic, entertaining",UetmdGJdblc,train
13,212,tt0043379,movie,Captain Horatio Hornblower,Captain Horatio Hornblower R.N.,0,1951,\N,117,"Action,Adventure,Drama","violence, action, historical fiction",s2l0p-fg4lU,test
14,221,tt0044926,movie,Moulin Rouge,Moulin Rouge,0,1952,\N,119,"Biography,Drama,Music",romantic,CKyh4zKkths,test
15,222,tt0045125,movie,Scaramouche,Scaramouche,0,1952,\N,115,"Action,Adventure,Comedy","revenge, action, murder",yzYEYyOsQtA,train
16,223,tt0045152,movie,Singin' in the Rain,Singin' in the Rain,0,1952,\N,103,"Comedy,Musical,Romance","comedy, boring, flashback, satire, romantic, historical",jEKQwy13j_8,test
17,227,tt0045810,movie,Gentlemen Prefer Blondes,Gentlemen Prefer Blondes,0,1953,\N,91,"Comedy,Musical,Romance","romantic, satire",ur9GKLl8v4U,train
18,230,tt0045888,movie,House of Wax,House of Wax,0,1953,\N,88,Horror,"revenge, murder",M5RkKx-9tEM,train
19,234,tt0045963,movie,Kiss Me Kate,Kiss Me Kate,0,1953,\N,109,"Comedy,Musical,Romance",romantic,ZiTQMypUgs8,train
20,235,tt0046183,movie,Peter Pan,Peter Pan,0,1953,\N,77,"Adventure,Animation,Family","good versus evil, psychedelic, fantasy, action, entertaining",4GVdbBpVVoc,val
21,238,tt0046303,movie,Shane,Shane,0,1953,\N,118,"Drama,Western","revenge, murder, violence, melodrama",SWdPmapuOd4,val
22,242,tt0046672,movie,"20,000 Leagues Under the Sea","20,000 Leagues Under the Sea",0,1954,\N,127,"Adventure,Drama,Family",sci-fi,eC39LB1PTNg,val
23,246,tt0046912,movie,Dial M for Murder,Dial M for Murder,0,1954,\N,105,"Crime,Thriller","suspenseful, murder, claustrophobic",rHVYaFCXVFM,val
24,252,tt0047396,movie,Rear Window,Rear Window,0,1954,\N,112,"Mystery,Thriller","mystery, suspenseful, horror, murder, claustrophobic",6kCcZCMYw38,test
25,254,tt0047472,movie,Seven Brides for Seven Brothers,Seven Brides for Seven Brothers,0,1954,\N,102,"Comedy,Drama,Musical",romantic,CfFFFfRwsR0,train
26,257,tt0047673,movie,White Christmas,White Christmas,0,1954,\N,120,"Comedy,Musical,Romance",romantic,3n3-UtakD3I,val
27,261,tt0047834,movie,Animal Farm,Animal Farm,0,1954,\N,72,"Animation,Drama","allegory, psychedelic, satire, murder",YGCo5Tva39s,train
28,262,tt0047849,movie,Bad Day at Black Rock,Bad Day at Black Rock,0,1955,\N,81,"Crime,Drama,Mystery","cult, murder",vWpvrb6i9bI,val
29,273,tt0048545,movie,Rebel Without a Cause,Rebel Without a Cause,0,1955,\N,111,Drama,"cult, violence, romantic",AnQ5CPEMjPI,train
30,275,tt0048728,movie,To Catch a Thief,To Catch a Thief,0,1955,\N,106,"Mystery,Romance,Thriller","murder, atmospheric",5PAUVYq-nAM,train
31,276,tt0048801,movie,We're No Angels,We're No Angels,0,1955,\N,106,"Comedy,Crime,Romance",romantic,SqESMMzdcZc,val
32,279,tt0049223,movie,Forbidden Planet,Forbidden Planet,0,1956,\N,98,"Adventure,Sci-Fi","comedy, psychological, murder, cult, psychedelic, suspenseful, sci-fi",wGHUye0TiKs,train
33,280,tt0049233,movie,Friendly Persuasion,Friendly Persuasion,0,1956,\N,137,"Drama,Family,Romance","comedy, murder, romantic",9joZubh9gvo,train
34,281,tt0049261,movie,Giant,Giant,0,1956,\N,201,"Drama,Western","romantic, depressing, realism, melodrama",kMG_ipol-MI,test
35,285,tt0049513,movie,Moby Dick,Moby Dick,0,1956,\N,116,"Adventure,Drama","revenge, philosophical",0QBimB68ZNI,test
36,286,tt0049674,movie,Richard III,Richard III,0,1955,\N,161,"Biography,Drama,History",murder,5-P0xHwjxiI,train
